roof_area_sqft,roof_type,material,stories,pitch,total_price
1950,gable,asphalt,2,low,11800
1700,hip,tile,1,med,13600
2300,flat,metal,1,low,17500
2100,gable,asphalt,1,high,14300
1250,hip,asphalt,1,med,8500
2800,flat,metal,2,low,23700
2000,gable,tile,2,med,17900
1600,hip,asphalt,1,low,10200
3100,gable,metal,2,high,30500
1400,flat,asphalt,1,low,8400
2200,gable,asphalt,2,med,14200
1850,hip,tile,2,med,17100
2500,flat,asphalt,1,low,14900
2400,gable,metal,1,high,22100
1550,hip,asphalt,1,med,10000
2000,flat,tile,2,low,16500
2850,gable,asphalt,2,high,19300
1800,hip,metal,1,high,16200
1350,gable,tile,1,low,11300
2450,flat,asphalt,1,low,14500
2600,gable,metal,2,med,25000
1700,hip,asphalt,1,low,10400
2150,gable,asphalt,2,med,13900
2300,flat,tile,1,low,15500
2000,hip,asphalt,1,high,12900
